id,kategori,struktur,utseende,seleksjon,tekstLogikk,alternativer,total_claude,total_fable
ansiktskrem,ekstra-hud,16,18,20,19,8,81,
balaklava,ekstra-hode,20,20,24,23,7,94,
bleie,innerst,18,19,17,19,8,81,
dunteppe,ekstra-vogn,19,20,23,24,9,95,
hals,ekstra-hals,17,19,20,18,8,82,
kjoredress,yttertoy,18,20,22,17,8,85,79
kortermet-body,innerst,17,18,23,17,8,83,76
kortermet-ullbody,innerst,18,19,23,20,7,87,
langermet-body,innerst,17,20,23,18,9,87,
langermet-ullbody-tynn,innerst,18,19,23,19,7,86,
langermet-ullbody,innerst,17,20,23,18,7,85,77
lett-bukse,innerst,16,19,23,17,7,82,71
lett-kjoredress,yttertoy,18,20,19,18,10,85,
lue-m-ull,ekstra-hode,17,20,23,19,9,88,
lue-tynn,ekstra-hode,16,19,22,16,9,82,67
lue,ekstra-hode,19,19,24,22,8,92,
pyjamas,mellomlag,17,19,23,12,9,80,63
regnponcho-over-baeresele,ekstra-vogn,18,19,20,21,8,86,
regntoy-skall,yttertoy,18,18,23,22,7,88,
regntrekk,ekstra-vogn,18,20,16,22,7,83,57
sandaler,ekstra-fotter,15,19,21,18,9,82,
sauekinn-i-vogn,ekstra-vogn,18,16,14,22,8,78,64
shorts,innerst,18,20,25,25,8,96,
sko,ekstra-fotter,17,19,21,19,6,82,
solhatt,ekstra-hode,19,20,21,18,8,86,
sovepose-0-5-tog,ekstra-sovn,16,19,23,18,9,85,
sovepose-1-0-tog,ekstra-sovn,16,20,18,13,10,77,57
sovepose-2-5-tog,ekstra-sovn,17,18,14,15,6,70,51
sovepose-3-0-3-5-tog,ekstra-sovn,17,19,13,18,7,74,
sovepose-3-5-tog,ekstra-sovn,17,20,24,17,7,85,
t-skjorte,innerst,18,19,23,24,8,92,
to-ullsett,innerst,13,18,21,16,7,75,67
toffel-sko,ekstra-fotter,18,19,23,19,7,86,
tynn-bukse,mellomlag,18,20,23,17,8,86,73
tynn-pyjamas,mellomlag,16,20,22,14,8,80,65
tynn-ull-mellomlag,mellomlag,18,19,21,20,10,88,
tynt-teppe,ekstra-vogn,18,20,9,12,8,67,44
ull-bukse,mellomlag,17,19,20,18,10,84,
ull-jakke,mellomlag,17,18,21,18,10,84,76
ull-mellomlag-tykt,mellomlag,17,19,24,25,7,92,
ull-mellomlag,mellomlag,19,18,24,21,9,91,
ull-pyjamas,mellomlag,17,19,22,18,7,83,73
ullsett-tykt,innerst,19,20,24,23,6,92,
ullsett-tynt,innerst,19,20,23,18,7,87,74
ullsokker,innerst,18,18,22,19,8,85,
varmepose-dun,ekstra-vogn,18,19,23,20,7,87,
varmepose-lett,ekstra-vogn,19,20,24,24,8,95,
varmepose,ekstra-vogn,19,20,24,25,8,96,
vindtett-skall,yttertoy,17,20,19,19,8,83,
vindvotter-skall,ekstra-hender,19,19,24,23,10,95,
vinterdress-isolert,yttertoy,17,20,21,18,8,84,72
vinterdress,yttertoy,19,20,21,21,6,87,
vinterkjoredress-isolert,yttertoy,18,20,23,19,8,88,
vinterkjoredress,yttertoy,18,8,21,17,7,71,73
vintersko-isolerte,ekstra-fotter,18,20,21,16,10,85,79
vintersko,ekstra-fotter,18,20,21,18,10,87,75
votter-dun,ekstra-hender,19,20,24,21,10,94,
votter-tykke,ekstra-hender,18,20,24,22,10,94,
votter-tynne,ekstra-hender,18,12,23,22,7,82,
votter,ekstra-hender,18,20,25,24,7,94,
